job_id,client_id,company_id,company_name,title,job_category,budget_min,budget_max,currency,urgency_level,experience_level,job_description,skills,required_hours_estimate,job_status,assigned_freelancer_id,posted_at,deadline,client_reputation_score,client_payment_verified,created_at,updated_at
job_a7ba7b6b,user_012,company_015,NextWave Creations,"Content Writer for Frontend Developer to implement mobile-first responsive design, accessibility improvements, and dashboard enhancements for a Fintech App. Medium-priority.",Web Development,19864,29796,INR,Low,Junior,"Backend Engineer needed for a blockchain-based financial app. The role requires integration of smart contracts, and decentralized applications. Medium-priority project with tight deadlines, requiring full-stack expertise.","[""DevOps"", ""Git"", ""English""]",368,Assigned,,2025-10-11T06:39:51.783221+00:00,2025-11-16T06:39:51.783221+00:00,3.1,True,2025-10-11T06:39:51.783221+00:00,2025-10-11T06:39:51.783221+00:00
job_994bf925,user_005,company_035,DevCraft Hub,"Full Stack Dev for Full Stack Developer needed to integrate third-party analytics, payment gateways, and reporting dashboards for a Fintech Dashboard. Medium-priority.",AI/ML,56976,85464,INR,Low,Junior,"Backend Engineer required to integrate reporting dashboards, and backend API enhancements for an AI Chatbot platform. Candidate should be engaging, clear, and SEO-optimized. Medium-priority project with flexible deadlines.","[""Python"", ""Git"", ""English""]",353,Open,,2025-11-15T06:39:51.783221+00:00,2025-11-23T06:39:51.783221+00:00,4.2,True,2025-11-15T06:39:51.783221+00:00,2025-11-20T06:39:51.783221+00:00
job_dbfa92c5,user_010,company_026,VectorShift Technologies,"Content Writer for Full Stack Developer to implement automated notifications, reporting dashboards, and backend API enhancements for a SaaS platform. Medium-priority, with flexible deadlines. Knowledge of Node.js and React is essential.",AI/ML,97522,146283,INR,High,Mid,Urgent hire: Frontend Developer urgently required to rebuild Portfolio Website using React/Next.js and improve accessibility for an E-commerce platform. Medium-priority project.,"[""React"", ""Git"", ""English""]",198,Open,,2025-09-29T06:39:51.786844+00:00,2025-11-10T06:39:51.786844+00:00,4.8,True,2025-09-29T06:39:51.786844+00:00,2025-09-29T06:39:51.786844+00:00
job_93bac54b,user_013,company_014,Softcloud Networks,"DevOps Engineer for A UI/UX Designer is required to redesign the user onboarding flow for a Fintech Dashboard. The role includes prototyping, user testing, and delivering high-fidelity designs. Medium urgency but attention to accessibility and usability is critical.",Content/Marketing,68295,102442,INR,High,Junior,Full Stack Developer to implement security patches and optimize accessibility. Medium-priority project.,"[""Flutter"", ""Git"", ""English""]",93,Open,,2025-10-06T06:39:51.786844+00:00,2025-11-06T06:39:51.786844+00:00,3.3,True,2025-10-06T06:39:51.786844+00:00,2025-10-11T06:39:51.786844+00:00
job_bdec8051,user_032,company_030,NorthStar Automation,"Backend Engineer for Our company is seeking a Backend Engineer for a long-term contract to develop APIs and database solutions for an E-commerce App. Knowledge of Python/Django is mandatory. The candidate should have experience in scalable backend systems, cloud deployment, and automated testing. This is a medium-priority project with flexible timelines, but high code quality is required.",AI/ML,54963,82444,INR,High,Senior,Full Stack Developer needed for the redesign of an AI Chatbot. Medium-priority project with collaborative communication skills.,"[""Figma"", ""Git"", ""English""]",155,Open,,2025-10-13T06:39:51.786844+00:00,2025-12-06T06:39:51.786844+00:00,4.3,True,2025-10-13T06:39:51.786844+00:00,2025-10-14T06:39:51.786844+00:00
job_75573192,user_008,company_034,PrimeShift Digital,"Full Stack Dev for Content Writer needed to create detailed technical documentation for a blockchain platform. Must understand blockchain concepts, smart contracts, and decentralized applications. Medium-priority project with clear formatting standards.",DevOps,25552,38328,INR,Medium,Mid,"Frontend Developer for a Fintech Dashboard. Medium-priority, with phased deadlines.","[""React"", ""Git"", ""English""]",255,Cancelled,,2025-11-12T06:39:51.786844+00:00,2025-12-17T06:39:51.786844+00:00,3.3,False,2025-11-12T06:39:51.786844+00:00,2025-11-12T06:39:51.786844+00:00
job_4f616ebf,user_024,company_003,DesignStudio X,"SEO Specialist for Frontend Developer urgently needed for a mobile-first redesign of an AI Chatbot interface. Candidate must have experience with React/Next.js, accessibility, and responsive layouts. Deadline is strict.",Content/Marketing,56926,85389,INR,Low,Junior,Full Stack Developer to implement new features and optimize SaaS platform backend and QA teams is required.,"[""Flutter"", ""Git"", ""English""]",48,Assigned,,2025-11-19T06:39:51.786844+00:00,2025-12-06T06:39:51.786844+00:00,4.6,True,2025-11-19T06:39:51.786844+00:00,2025-11-19T06:39:51.786844+00:00
job_c0f3a56c,user_036,company_001,TechCorp Solutions,"Full Stack Dev for Content Writer required to draft detailed whitepapers and blog posts for a Fintech platform. Medium-priority, requiring research, SEO optimization, and clear explanation of technical concepts.",Web Development,28135,42202,INR,Medium,Senior,Frontend Developer to add new features and optimize performance for an AI Chatbot. Strong Node.js and React skills required.,"[""Python"", ""Git"", ""English""]",79,Assigned,,2025-10-11T06:39:51.786844+00:00,2025-11-06T06:39:51.786844+00:00,3.4,True,2025-10-11T06:39:51.786844+00:00,2025-10-12T06:39:51.786844+00:00
job_a8571ee3,user_027,company_025,RapidScale Ventures,"SEO Specialist for Frontend Developer needed to implement responsive design, accessibility improvements, and feature enhancements for an AI Chatbot. Medium-priority project with collaborative teamwork expected.",Content/Marketing,27660,41490,INR,Low,Mid,"UI/UX Designer required to fix UI bugs, optimize performance, and implement accessibility improvements for an E-commerce App. Knowledge of AWS, Docker, and CI/CD pipelines is mandatory.","[""React"", ""Git"", ""English""]",291,InProgress,,2025-11-05T06:39:51.786844+00:00,2025-11-25T06:39:51.786844+00:00,4.5,False,2025-11-05T06:39:51.786844+00:00,2025-11-08T06:39:51.786844+00:00
job_2b586431,user_011,company_004,CloudNova Systems,"UI/UX Designer for Frontend Developer required to enhance Portfolio Website UI, implement responsive layouts, and optimize accessibility. Medium-priority project.",Mobile,14853,22280,INR,Low,Junior,"Full Stack Developer to implement mobile-first responsive design, accessibility improvements, and feature enhancements for a SaaS platform. Medium-priority project with flexible timelines, but high code quality is required.","[""Figma"", ""Git"", ""English""]",129,InProgress,,2025-10-05T06:39:51.786844+00:00,2025-11-06T06:39:51.786844+00:00,5.0,True,2025-10-05T06:39:51.786844+00:00,2025-10-08T06:39:51.786844+00:00
